CASE,age,Age_prolific,sex,gender,education,occupation,Nationality,race,hispanic,non_hispanic_white,even_odd,psychant,psychsyn,mahal_dist,longstring,time_per_item,included,not_serious,Language,total_approvals,AAID_01,AAID_05,AAID_07,AAID_09,AAID_12,AAID_14,PANAS_09,PANAS_14,PANAS_10,PANAS_05,PANAS_08,PANAS_06,PANAS_04,PANAS_18,PAQ_08,PAQ_20,PAQ_05,PAQ_17,PAQ_13,PAQ_07,PAQ_10,PAQ_16,PAQ_03,PAQ_15,PSS_01,PSS_02,PSS_03,PSS_08,PSS_11,PSS_12,PSS_14,NEPS_01,NEPS_05,NEPS_07,NEPS_09,NEPS_13,ULS8_01,ULS8_02,ULS8_04,ULS8_05,ULS8_07,ULS8_08,FCV19S_01,FCV19S_02,FCV19S_03,FCV19S_04,FCV19S_05,FCV19S_06,FCV19S_07,DAQ_05,DAQ_07,DAQ_09,DAQ_11,DAQ_15,DAQ_19,DAQ_21,DAQ_23,DAQ_25,DAQ_02,DAQ_06,DAQ_08,DAQ_10,DAQ_12,DAQ_14,DAQ_16,DAQ_24,CESD_01,CESD_02,CESD_03,CESD_05,CESD_06,CESD_07,CESD_09,CESD_10,CESD_11,CESD_13,CESD_14,CESD_15,CESD_17,CESD_18,CESD_19,CESD_20,HEXACO_01,HEXACO_02,HEXACO_06,HEXACO_09,HEXACO_11,HEXACO_12,HEXACO_13,HEXACO_15,HEXACO_17,HEXACO_18,HEXACO_21,HEXACO_22,HEXACO_27,HEXACO_29,OCIR_01,OCIR_02,OCIR_03,OCIR_04,OCIR_05,OCIR_06,OCIR_07,OCIR_08,OCIR_09,OCIR_10,OCIR_11,OCIR_12,OCIR_13,OCIR_14,OCIR_15,OCIR_16,OCIR_17,OCIR_18,PTQ_01,PTQ_02,PTQ_03,PTQ_04,PTQ_05,PTQ_06,PTQ_07,PTQ_08,PTQ_09,PTQ_10,PTQ_11,PTQ_12,PTQ_13,PTQ_14,PTQ_15,RAAS_01,RAAS_05,RAAS_06,RAAS_12,RAAS_14,KSA3_01,KSA3_02,KSA3_03,KSA3_04,KSA3_05,KSA3_06,KSA3_07,KSA3_08,KSA3_09,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_07,SAS_08,SAS_09,MFQ_01,MFQ_02,MFQ_03,MFQ_04,MFQ_05,MFQ_06,MFQ_07,MFQ_08,MFQ_09,MFQ_10,MFQ_11,CQ_03,CQ_04,CQ_05,CQ_09,CQ_14,CQ_15,CQ_16,OLBI_07,OLBI_10,OLBI_15,OLBI_16,UWES9_01,UWES9_02,UWES9_03,UWES9_04,UWES9_05,UWES9_06,UWES9_07,UWES9_08,UWES9_09,WGS_01,WGS_02,WGS_03,WGS_04,WGS_05,WGS_06,WGS_07,WGS_08,WGS_09,WGS_10
507,38,28,Male,Same as sex,5+ years of college,Computer and information systems managers,Nigeria,Black/African American,"No, not of Hispanic, Latino, or Spanish origin",0,-0.576376663292087,-0.0364405566555393,0.474131775966515,183.105229007329,9,12.6590909090909,TRUE,FALSE,English,168,4,3,3,4,4,3,5,6,5,5,4,4,5,5,5,6,5,4,5,4,5,4,5,4,5,4,5,6,4,4,4,5,5,5,5,7,2,3,6,2,3,5,2,2,2,2,2,2,2,6,6,6,5,5,4,4,4,4,5,5,5,4,6,6,5,5,2,5,2,3,2,6,2,5,3,4,2,3,3,3,2,3,5,5,4,5,5,4,4,4,4,5,5,5,4,5,5,4,5,5,4,4,4,5,5,4,5,5,5,2,5,4,5,5,4,5,5,5,6,5,4,4,4,4,5,5,5,6,3,5,4,5,4,4,4,4,5,5,5,4,4,5,5,5,6,5,6,6,4,3,4,5,5,5,5,5,4,6,4,6,6,5,4,4,4,4,3,5,4,5,4,6,5,4,6,4,5,4,6,4,5,4,4,5,5,6,5,5,5,2,5,5
1002,23,22,Female,"Other, please specify",Grade 10,Retail salespersons,United States,Black/African American,"No, not of Hispanic, Latino, or Spanish origin",0,-0.870330493846202,-0.65051024479006,0.856095544553244,252.0143150903,11,2.22727272727273,TRUE,FALSE,English,1241,6,4,4,6,4,4,3,4,3,3,5,2,5,5,6,6,6,6,6,6,6,6,6,4,4,5,6,4,6,5,4,6,7,6,6,6,6,6,6,6,6,6,1,2,1,2,1,1,1,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,7,6,5,5,6,5,5,5,6,5,5,5,1,5,5,6,2,2,6,2,3,6,5,5,3,6,2,6,6,6,6,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,6,4,6,7,6,7,6,6,6,6,6,6,7,6,6,6,6,1,1,1,2,1,6,6,6,4,3,2,4,3,5,6,4,4,4,6,4,2,2,5,6,2,5,4,6,2,6,2,2,2,6,7,2,5,6,6,2,4,4,2,2,2,2,2,2,2,2,3,2,2,4,2,4,5,4,3,5,2,5,4
506,21,21,Male,Same as sex,3 years of college,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.782270445156278,-0.265544530431714,0.618015550064849,207.843193340011,6,3.39393939393939,TRUE,FALSE,English,28,6,6,5,6,5,5,5,4,4,4,1,3,2,6,5,5,3,3,5,5,5,5,6,5,1,2,6,3,2,5,3,5,6,6,7,6,5,2,5,6,6,5,3,4,2,4,3,1,1,6,6,6,6,6,6,7,6,6,7,7,6,6,7,7,6,7,1,3,1,4,2,5,2,4,5,2,4,1,2,3,2,1,3,3,2,3,5,5,5,5,3,4,2,7,5,7,3,5,1,1,1,5,2,1,5,1,5,6,4,2,1,1,1,5,3,4,5,5,2,4,5,4,5,5,4,6,5,2,3,3,2,5,5,6,3,4,4,5,4,3,4,3,3,5,3,5,6,6,2,4,5,6,5,5,5,5,7,6,6,4,4,4,7,6,4,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,
511,49,49,Female,Same as sex,3 years of college,N/A: Unemployed,India,Other Asian or Pacific Islander,"No, not of Hispanic, Latino, or Spanish origin",0,-0.91494768299296,-0.426676047087119,0.821291622374076,196.337423299221,4,4.59090909090909,TRUE,FALSE,Hindi,857,5,5,6,5,6,5,5,3,4,4,2,3,4,4,2,2,3,2,1,1,1,2,2,2,2,4,2,3,3,5,2,4,6,7,6,3,1,1,1,2,2,1,2,5,3,3,4,2,3,6,6,6,6,7,7,6,5,7,6,6,5,5,6,6,5,6,4,1,2,2,2,2,2,2,2,3,1,2,2,2,2,1,2,5,3,3,3,7,5,4,3,7,6,4,4,5,1,6,6,5,5,5,1,5,6,5,2,6,5,5,5,6,6,5,6,5,5,5,4,5,7,5,5,5,5,6,4,3,4,3,4,3,5,6,7,6,5,6,4,4,4,5,3,6,6,4,6,7,3,3,5,6,6,6,7,7,7,7,6,3,3,6,5,5,3,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,
512,25,25,Female,Same as sex,4 years of college,Management analysts,United States,Black/African American,"No, not of Hispanic, Latino, or Spanish origin",0,-0.855205493849166,-0.260887474907541,0.298228961839052,250.952264538594,9,5.22348484848485,TRUE,FALSE,English,1,3,3,5,3,5,3,6,6,6,6,5,3,5,4,3,3,6,3,6,3,3,6,3,3,3,5,5,5,6,5,5,5,5,5,5,6,3,2,2,3,2,2,5,5,5,5,5,5,5,5,5,2,6,2,2,6,3,2,5,2,2,6,5,3,5,6,4,5,5,4,5,5,5,4,3,4,3,3,5,3,4,2,3,5,5,6,5,6,5,5,5,6,5,5,5,6,3,6,3,3,6,6,3,3,3,6,6,3,6,3,6,3,6,6,3,3,2,3,2,3,2,3,2,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,3,5,6,6,6,6,6,6,5,5,6,6,6,6,3,6,5,6,6,6,6,5,5,5,5,3,5,3,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,3,6,6
967,37,37,Female,Same as sex,1 year of college,Customer service representatives,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.919629076606512,-0.322227833936598,0.767038679719775,162.022613890538,9,5.00378787878788,TRUE,FALSE,English,315,6,5,4,6,4,4,4,3,4,4,2,3,3,3,2,2,2,1,2,2,1,2,2,2,2,2,4,3,3,4,2,5,6,7,6,6,2,2,5,5,4,2,2,2,2,1,2,1,2,7,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,4,2,2,2,2,5,1,3,2,2,2,1,2,3,2,4,6,5,4,5,6,6,5,5,3,6,5,5,6,4,2,2,5,2,3,2,4,2,3,2,2,2,3,2,3,2,2,2,4,5,3,5,3,6,5,5,3,3,5,5,2,3,3,5,5,6,6,5,2,3,6,7,5,4,4,3,3,6,6,6,6,7,4,2,2,6,6,5,6,7,6,7,5,6,6,5,6,5,6,6,5,6,6,6,6,6,5,4,5,5,4,6,3,6,3,3,6,6,6,4,4,3,4,6,6,6
522,28,28,Male,"Other, please specify",2 years of college,N/A: Unemployed,Peru,"Two major races (e.g., White and Japanese)","Yes, another Hispanic, Latino, or Spanish origin",0,-0.952132778027322,-0.816088856839922,0.799431893983644,168.016879252321,17,5.49621212121212,TRUE,FALSE,Spanish,1332,4,4,4,4,4,4,3,3,2,3,6,5,5,5,6,6,5,4,6,6,6,6,5,4,4,6,5,5,6,6,4,6,7,7,7,4,6,5,4,6,4,5,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,3,5,7,5,7,5,5,5,7,3,1,6,3,4,1,5,3,2,4,4,4,3,4,6,3,4,3,2,2,4,2,4,3,6,2,4,4,2,4,5,3,4,2,3,4,5,6,6,6,6,5,6,5,6,6,6,6,5,6,6,6,2,3,4,2,2,1,1,1,4,1,1,4,1,4,4,4,3,4,4,4,4,4,6,6,1,1,4,6,7,4,1,1,1,6,5,4,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,
939,59,59,Female,Same as sex,1 year of college,Telemarketers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.812395506229207,-0.822257169664033,0.6568755552792,261.469828696329,8,7.12121212121212,TRUE,FALSE,English,1674,6,6,6,6,6,6,6,6,5,5,2,2,2,1,2,3,5,5,5,1,1,1,1,5,3,2,1,1,2,6,1,2,6,5,6,3,2,1,1,2,1,2,1,1,1,1,1,1,1,6,3,2,6,5,2,2,2,2,6,6,6,6,2,2,4,6,1,1,1,1,1,1,1,1,2,4,1,1,1,3,1,1,7,6,5,6,6,4,5,7,6,7,6,5,6,5,1,2,5,5,5,1,5,2,5,2,2,1,6,2,5,2,2,1,2,3,1,2,1,2,5,1,4,1,1,5,1,2,1,6,2,5,5,6,3,3,5,7,3,3,7,2,2,7,7,7,7,7,1,1,1,7,5,7,6,4,7,7,7,5,5,4,6,2,5,3,1,2,5,6,6,6,6,5,5,6,5,5,6,6,5,5,3,3,3,4,4,4,4,4,5,5
520,22,22,Female,Same as sex,4 years of college,"Environmental science and geoscience technicians, and nuclear technicians",United States,Black/African American,"No, not of Hispanic, Latino, or Spanish origin",0,-0.597277702836471,-0.504228115894298,0.624852400039811,249.467033374952,12,9.1969696969697,TRUE,FALSE,English,0,5,2,6,3,6,6,5,6,6,6,1,2,2,2,4,5,5,4,5,5,5,5,5,5,2,3,2,6,4,5,3,5,7,5,6,5,3,3,4,4,4,3,6,3,3,4,6,3,3,6,5,5,6,6,3,6,6,6,7,6,6,6,7,6,5,5,3,2,2,3,3,5,2,6,4,2,2,3,2,4,3,2,6,2,5,5,4,4,5,7,6,4,3,5,6,5,3,4,5,6,7,4,5,4,3,4,5,5,6,3,5,2,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,6,2,6,6,4,6,7,3,5,2,3,5,2,4,6,6,6,6,7,7,4,4,6,6,5,6,6,7,5,7,4,6,6,6,1,6,3,6,6,5,5,5,5,6,6,5,5,5,5,5,5,6,6,4,5,4,5,5,4,5,3,4,5
525,25,25,Female,Same as sex,4 years of college,N/A: Unemployed,United States,White,"Yes, Mexican, Mexican Am., Chicano",0,-0.764823246840238,-0.352540037833601,0.659360836300097,264.686989326781,9,8.91287878787879,TRUE,FALSE,English,62,5,7,5,6,5,3,5,5,3,3,1,2,3,2,2,6,2,5,5,6,1,5,1,2,2,2,4,3,2,7,4,2,6,5,6,5,1,1,2,2,6,1,4,3,1,5,5,1,2,7,7,6,6,7,7,7,5,7,7,7,7,7,7,7,7,7,1,1,1,2,1,1,4,2,3,2,1,1,1,2,2,2,7,7,2,2,6,6,5,7,5,4,6,6,5,2,2,1,1,1,2,1,1,1,5,1,4,1,1,1,2,5,5,1,3,6,4,2,6,5,5,4,3,6,5,5,1,5,3,5,3,6,6,3,2,3,7,5,2,2,7,4,3,5,6,6,5,6,2,1,6,6,7,2,7,5,7,7,5,1,5,4,6,5,7,5,5,5,7,,,,,,,,,,,,,,,,,,,,,,,
523,40,40,Female,Same as sex,4 years of college,Information security analysts,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.806448802414721,-0.345982663864707,0.63930589251,248.323711620345,8,4.43560606060606,TRUE,FALSE,English,151,6,5,3,6,4,4,5,5,6,6,2,2,4,4,1,1,1,1,1,1,1,1,3,5,6,6,6,1,5,7,4,1,3,1,6,2,3,1,1,1,4,1,1,2,1,1,3,1,2,6,5,6,6,6,6,7,7,5,3,6,6,5,6,6,5,6,1,1,1,6,1,5,1,3,3,1,1,2,1,3,2,5,3,2,4,5,3,7,4,2,2,7,7,6,5,2,4,3,1,2,1,2,5,1,1,1,1,1,5,1,1,1,1,1,1,5,2,5,2,1,5,1,4,5,2,6,4,2,1,6,4,4,5,5,6,4,4,6,1,1,6,2,3,6,6,6,4,7,1,1,4,5,4,7,7,2,7,1,4,4,7,3,7,2,2,6,5,7,4,6,2,2,2,2,2,3,4,1,6,5,3,5,6,5,5,7,7,6,7,7,7,6
576,37,37,Female,Same as sex,4 years of college,Computer and information systems managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.824194999779057,-0.56301086822484,0.756012331291988,222.096335874794,5,7.38636363636364,TRUE,FALSE,English,183,4,5,6,5,7,6,3,7,5,6,4,3,2,4,6,2,5,1,1,5,5,2,2,5,4,3,2,4,2,5,3,2,6,7,6,4,3,2,2,2,2,4,2,5,2,1,5,2,2,6,6,5,6,6,6,5,7,6,6,5,5,6,6,7,6,6,2,3,3,2,2,4,1,2,2,2,4,2,2,3,1,3,5,5,3,5,5,5,6,6,3,5,5,6,5,4,2,2,1,1,2,2,1,1,1,2,2,2,1,1,3,2,1,2,4,2,1,2,2,2,2,2,3,3,1,5,3,1,2,6,5,5,6,5,3,5,3,5,4,5,5,5,3,6,7,6,6,6,1,2,7,4,6,3,5,5,6,7,6,4,5,4,6,5,2,6,5,7,4,5,6,6,6,7,6,6,6,6,7,5,6,5,5,6,6,6,6,6,7,4,5,6
