item_1,item_2
bfi_open_1,asendorpf_shyness_1
bfi_open_1,bfi_consc_6
bfi_open_1,bfi_neuro_6r
bfi_open_1,bfi_open_7r
bfi_open_1,narq_13
bfi_open_1,bfi_extra_8
bfi_open_1,bfi_agree_8r
bfi_open_1,narq_6
bfi_open_1,bfi_consc_7
bfi_open_1,bfi_neuro_7
bfi_open_1,narq_7
bfi_open_1,bfi_open_8
bfi_open_1,narq_12
bfi_open_1,bfi_open_9r
bfi_open_1,bfi_agree_9
bfi_open_1,narq_8
bfi_open_1,bfi_consc_8r
bfi_open_1,narq_9
bfi_open_1,narq_10
bfi_open_1,bfi_open_10
bfi_open_1,pvd_infectability_2
bfi_open_1,pvd_germ_aversion_4R
bfi_open_1,spms_partner_1
bfi_open_1,spms_partner_2
bfi_open_1,spms_partner_3R
bfi_open_1,satisfaction_sexual_intercourse
bfi_open_1,satisfaction_single_life
bfi_open_1,investment_potential_partner
bfi_open_1,quantity_potential_partner
bfi_open_1,relationship_importance
bfi_open_1,relationship_importance_partner
bfi_open_1,partner_attractiveness_longterm
bfi_open_1,partner_attractiveness_shortterm
bfi_open_1,partner_attractiveness_face
bfi_open_1,partner_attractiveness_body
bfi_open_1,attractiveness_warmth
bfi_open_1,partner_attractiveness_trust
bfi_open_1,partner_sexiness
bfi_open_1,partner_strength
bfi_open_1,partner_feel_safe
bfi_open_1,spms_self_1
bfi_open_1,spms_self_2
bfi_open_1,spms_self_3R
bfi_open_1,soi_r_desire_9
bfi_open_1,soi_r_desire_7
bfi_open_1,soi_r_desire_8
bfi_open_1,relationship_problems
bfi_open_1,relationship_satisfaction_overall
bfi_open_1,relationship_conflict
bfi_open_1,relationship_satisfaction_2
bfi_open_1,relationship_satisfaction_3
bfi_open_1,alternatives_1
bfi_open_1,alternatives_2
bfi_open_1,alternatives_3
bfi_open_1,alternatives_4
bfi_open_1,alternatives_5
bfi_open_1,alternatives_6
bfi_open_1,investment_1
bfi_open_1,investment_2
bfi_open_1,investment_3
bfi_open_1,commitment_1
bfi_open_1,commitment_2
bfi_open_1,commitment_3
bfi_open_1,communal_strength_1
bfi_open_1,communal_strength_2R
bfi_open_1,communal_strength_3
bfi_open_1,communal_strength_4
bfi_open_1,sexual_communal_strength_1
bfi_open_1,sexual_communal_strength_2
bfi_open_1,sexual_communal_strength_3
bfi_open_1,ecr_avo_1R
bfi_open_1,ecr_anx_1
bfi_open_1,ecr_avo_2
bfi_open_1,ecr_anx_2
bfi_open_1,ecr_anx_3
bfi_open_1,ecr_avo_3R
bfi_open_1,ecr_avo_4
bfi_open_1,ecr_anx_4R
bfi_open_1,ecr_avo_5R
bfi_open_1,ecr_anx_5
bfi_open_1,ecr_avo_6
bfi_open_1,ecr_anx_6
narq_5,bfi_open_1
narq_5,narq_5
narq_5,narq_3
narq_5,bfi_agree_2
narq_5,pvd_infectability_1
narq_5,bfi_consc_2r
narq_5,soi_r_attitude_6r
narq_5,asendorpf_shyness_4r
narq_5,bfi_neuro_2r
narq_5,bfi_open_2
narq_5,bfi_extra_1
narq_5,bfi_extra_3
narq_5,bfi_agree_3r
narq_5,soi_r_attitude_4
narq_5,narq_15
narq_5,bfi_consc_3
narq_5,soi_r_attitude_5
narq_5,narq_2
narq_5,asendorpf_shyness_2
narq_5,bfi_agree_1r
narq_5,bfi_consc_1
narq_5,narq_11
narq_5,bfi_neuro_1
narq_5,bfi_extra_2r
narq_5,bfi_neuro_3
narq_5,narq_18
narq_5,bfi_open_3
narq_5,asendorpf_shyness_5
narq_5,bfi_extra_4
narq_5,narq_16
narq_5,bfi_agree_4
narq_5,bfi_consc_9r
narq_5,bfi_neuro_4
narq_5,bfi_open_4
narq_5,bfi_extra_5r
narq_5,bfi_agree_5
narq_5,narq_1
narq_5,bfi_consc_4r
narq_5,bfi_neuro_5r
narq_5,bfi_open_5
narq_5,bfi_extra_6
narq_5,narq_14
narq_5,bfi_agree_6r
narq_5,bfi_consc_5
narq_5,asendorpf_shyness_3r
narq_5,pvd_germ_aversion_2
narq_5,pvd_germ_aversion_3R
narq_5,bfi_neuro_8
narq_5,pvd_infectability_3R
narq_5,pvd_germ_aversion_1
narq_5,feel_safe_walking_dark
narq_5,feel_safe_violent_crime
narq_5,feel_safe_sexual_assault
narq_5,feel_safe_theft
narq_5,bfi_open_6
narq_5,narq_17
narq_5,bfi_extra_7r
narq_5,bfi_agree_7
narq_5,narq_4
narq_5,asendorpf_shyness_1
narq_5,bfi_consc_6
narq_5,bfi_neuro_6r
narq_5,bfi_open_7r
narq_5,narq_13
narq_5,bfi_extra_8
narq_5,bfi_agree_8r
narq_5,narq_6
narq_5,bfi_consc_7
narq_5,bfi_neuro_7
narq_5,narq_7
narq_5,bfi_open_8
narq_5,narq_12
narq_5,bfi_open_9r
narq_5,bfi_agree_9
narq_5,narq_8
narq_5,bfi_consc_8r
narq_5,narq_9
narq_5,narq_10
narq_5,bfi_open_10
narq_5,pvd_infectability_2
narq_5,pvd_germ_aversion_4R
narq_5,spms_partner_1
narq_5,spms_partner_2
narq_5,spms_partner_3R
narq_5,satisfaction_sexual_intercourse
narq_5,satisfaction_single_life
narq_5,investment_potential_partner
narq_5,quantity_potential_partner
narq_5,relationship_importance
narq_5,relationship_importance_partner
narq_5,partner_attractiveness_longterm
narq_5,partner_attractiveness_shortterm
narq_5,partner_attractiveness_face
narq_5,partner_attractiveness_body
narq_5,attractiveness_warmth
narq_5,partner_attractiveness_trust
narq_5,partner_sexiness
narq_5,partner_strength
narq_5,partner_feel_safe
narq_5,spms_self_1
narq_5,spms_self_2
narq_5,spms_self_3R
narq_5,soi_r_desire_9
narq_5,soi_r_desire_7
narq_5,soi_r_desire_8
narq_5,relationship_problems
narq_5,relationship_satisfaction_overall
narq_5,relationship_conflict
narq_5,relationship_satisfaction_2
narq_5,relationship_satisfaction_3
narq_5,alternatives_1
narq_5,alternatives_2
narq_5,alternatives_3
narq_5,alternatives_4
narq_5,alternatives_5
narq_5,alternatives_6
narq_5,investment_1
narq_5,investment_2
narq_5,investment_3
narq_5,commitment_1
narq_5,commitment_2
narq_5,commitment_3
narq_5,communal_strength_1
narq_5,communal_strength_2R
narq_5,communal_strength_3
narq_5,communal_strength_4
narq_5,sexual_communal_strength_1
narq_5,sexual_communal_strength_2
narq_5,sexual_communal_strength_3
narq_5,ecr_avo_1R
narq_5,ecr_anx_1
narq_5,ecr_avo_2
narq_5,ecr_anx_2
narq_5,ecr_anx_3
narq_5,ecr_avo_3R
narq_5,ecr_avo_4
narq_5,ecr_anx_4R
narq_5,ecr_avo_5R
narq_5,ecr_anx_5
narq_5,ecr_avo_6
narq_5,ecr_anx_6
narq_3,bfi_open_1
narq_3,narq_5
narq_3,bfi_agree_2
narq_3,pvd_infectability_1
narq_3,bfi_consc_2r
narq_3,soi_r_attitude_6r
narq_3,asendorpf_shyness_4r
narq_3,bfi_neuro_2r
narq_3,bfi_open_2
narq_3,bfi_extra_1
narq_3,bfi_extra_3
narq_3,bfi_agree_3r
narq_3,soi_r_attitude_4
narq_3,narq_15
narq_3,bfi_consc_3
narq_3,soi_r_attitude_5
narq_3,narq_2
narq_3,asendorpf_shyness_2
narq_3,bfi_agree_1r
narq_3,bfi_consc_1
narq_3,narq_11
narq_3,bfi_neuro_1
narq_3,bfi_extra_2r
narq_3,bfi_neuro_3
narq_3,narq_18
narq_3,bfi_open_3
narq_3,asendorpf_shyness_5
narq_3,bfi_extra_4
narq_3,narq_16
narq_3,bfi_agree_4
narq_3,bfi_consc_9r
narq_3,bfi_neuro_4
narq_3,bfi_open_4
narq_3,bfi_extra_5r
narq_3,bfi_agree_5
narq_3,narq_1
narq_3,bfi_consc_4r
narq_3,bfi_neuro_5r
narq_3,bfi_open_5
narq_3,bfi_extra_6
narq_3,narq_14
narq_3,bfi_agree_6r
narq_3,bfi_consc_5
narq_3,asendorpf_shyness_3r
narq_3,pvd_germ_aversion_2
narq_3,pvd_germ_aversion_3R
narq_3,bfi_neuro_8
narq_3,pvd_infectability_3R
narq_3,pvd_germ_aversion_1
narq_3,feel_safe_walking_dark
narq_3,feel_safe_violent_crime
narq_3,feel_safe_sexual_assault
narq_3,feel_safe_theft
narq_3,bfi_open_6
narq_3,narq_17
narq_3,bfi_extra_7r
narq_3,bfi_agree_7
narq_3,narq_4
narq_3,asendorpf_shyness_1
narq_3,bfi_consc_6
narq_3,bfi_neuro_6r
narq_3,bfi_open_7r
narq_3,narq_13
narq_3,bfi_extra_8
narq_3,bfi_agree_8r
narq_3,narq_6
narq_3,bfi_consc_7
narq_3,bfi_neuro_7
narq_3,narq_7
narq_3,bfi_open_8
narq_3,narq_12
narq_3,bfi_open_9r
narq_3,bfi_agree_9
narq_3,narq_8
narq_3,bfi_consc_8r
narq_3,narq_9
narq_3,narq_10
narq_3,bfi_open_10
narq_3,pvd_infectability_2
narq_3,pvd_germ_aversion_4R
narq_3,spms_partner_1
narq_3,spms_partner_2
narq_3,spms_partner_3R
narq_3,satisfaction_sexual_intercourse
narq_3,satisfaction_single_life
narq_3,investment_potential_partner
narq_3,quantity_potential_partner
narq_3,relationship_importance
narq_3,relationship_importance_partner
narq_3,partner_attractiveness_longterm
narq_3,partner_attractiveness_shortterm
narq_3,partner_attractiveness_face
narq_3,partner_attractiveness_body
narq_3,attractiveness_warmth
narq_3,partner_attractiveness_trust
narq_3,partner_sexiness
narq_3,partner_strength
narq_3,partner_feel_safe
narq_3,spms_self_1
narq_3,spms_self_2
narq_3,spms_self_3R
narq_3,soi_r_desire_9
narq_3,soi_r_desire_7
narq_3,soi_r_desire_8
narq_3,relationship_problems
narq_3,relationship_satisfaction_overall
narq_3,relationship_conflict
narq_3,relationship_satisfaction_2
narq_3,relationship_satisfaction_3
narq_3,alternatives_1
narq_3,alternatives_2
narq_3,alternatives_3
narq_3,alternatives_4
narq_3,alternatives_5
narq_3,alternatives_6
narq_3,investment_1
narq_3,investment_2
narq_3,investment_3
narq_3,commitment_1
narq_3,commitment_2
narq_3,commitment_3
narq_3,communal_strength_1
narq_3,communal_strength_2R
narq_3,communal_strength_3
narq_3,communal_strength_4
narq_3,sexual_communal_strength_1
narq_3,sexual_communal_strength_2
narq_3,sexual_communal_strength_3
narq_3,ecr_avo_1R
narq_3,ecr_anx_1
narq_3,ecr_avo_2
narq_3,ecr_anx_2
narq_3,ecr_anx_3
narq_3,ecr_avo_3R
narq_3,ecr_avo_4
narq_3,ecr_anx_4R
narq_3,ecr_avo_5R
narq_3,ecr_anx_5
narq_3,ecr_avo_6
narq_3,ecr_anx_6
bfi_agree_2,bfi_open_1
bfi_agree_2,narq_5
bfi_agree_2,narq_3
bfi_agree_2,bfi_agree_2
bfi_agree_2,pvd_infectability_1
bfi_agree_2,bfi_consc_2r
bfi_agree_2,soi_r_attitude_6r
bfi_agree_2,asendorpf_shyness_4r
bfi_agree_2,bfi_neuro_2r
bfi_agree_2,bfi_open_2
bfi_agree_2,bfi_extra_1
bfi_agree_2,bfi_extra_3
bfi_agree_2,bfi_agree_3r
bfi_agree_2,soi_r_attitude_4
bfi_agree_2,narq_15
bfi_agree_2,bfi_consc_3
bfi_agree_2,soi_r_attitude_5
bfi_agree_2,narq_2
bfi_agree_2,asendorpf_shyness_2
bfi_agree_2,bfi_agree_1r
bfi_agree_2,bfi_consc_1
bfi_agree_2,narq_11
bfi_agree_2,bfi_neuro_1
bfi_agree_2,bfi_extra_2r
bfi_agree_2,bfi_neuro_3
bfi_agree_2,narq_18
bfi_agree_2,bfi_open_3
bfi_agree_2,asendorpf_shyness_5
bfi_agree_2,bfi_extra_4
bfi_agree_2,narq_16
bfi_agree_2,bfi_agree_4
bfi_agree_2,bfi_consc_9r
bfi_agree_2,bfi_neuro_4
bfi_agree_2,bfi_open_4
bfi_agree_2,bfi_extra_5r
bfi_agree_2,bfi_agree_5
bfi_agree_2,narq_1
bfi_agree_2,bfi_consc_4r
bfi_agree_2,bfi_neuro_5r
bfi_agree_2,bfi_open_5
bfi_agree_2,bfi_extra_6
bfi_agree_2,narq_14
bfi_agree_2,bfi_agree_6r
bfi_agree_2,bfi_consc_5
bfi_agree_2,asendorpf_shyness_3r
bfi_agree_2,pvd_germ_aversion_2
bfi_agree_2,pvd_germ_aversion_3R
bfi_agree_2,bfi_neuro_8
bfi_agree_2,pvd_infectability_3R
bfi_agree_2,pvd_germ_aversion_1
bfi_agree_2,feel_safe_walking_dark
bfi_agree_2,feel_safe_violent_crime
bfi_agree_2,feel_safe_sexual_assault
bfi_agree_2,feel_safe_theft
bfi_agree_2,bfi_open_6
bfi_agree_2,narq_17
bfi_agree_2,bfi_extra_7r
bfi_agree_2,bfi_agree_7
bfi_agree_2,narq_4
bfi_agree_2,asendorpf_shyness_1
bfi_agree_2,bfi_consc_6
bfi_agree_2,bfi_neuro_6r
bfi_agree_2,bfi_open_7r
bfi_agree_2,narq_13
bfi_agree_2,bfi_extra_8
bfi_agree_2,bfi_agree_8r
bfi_agree_2,narq_6
bfi_agree_2,bfi_consc_7
bfi_agree_2,bfi_neuro_7
bfi_agree_2,narq_7
bfi_agree_2,bfi_open_8
bfi_agree_2,narq_12
bfi_agree_2,bfi_open_9r
bfi_agree_2,bfi_agree_9
bfi_agree_2,narq_8
bfi_agree_2,bfi_consc_8r
bfi_agree_2,narq_9
bfi_agree_2,narq_10
bfi_agree_2,bfi_open_10
bfi_agree_2,pvd_infectability_2
bfi_agree_2,pvd_germ_aversion_4R
bfi_agree_2,spms_partner_1
bfi_agree_2,spms_partner_2
bfi_agree_2,spms_partner_3R
bfi_agree_2,satisfaction_sexual_intercourse
bfi_agree_2,satisfaction_single_life
bfi_agree_2,investment_potential_partner
bfi_agree_2,quantity_potential_partner
bfi_agree_2,relationship_importance
bfi_agree_2,relationship_importance_partner
bfi_agree_2,partner_attractiveness_longterm
bfi_agree_2,partner_attractiveness_shortterm
bfi_agree_2,partner_attractiveness_face
bfi_agree_2,partner_attractiveness_body
bfi_agree_2,attractiveness_warmth
bfi_agree_2,partner_attractiveness_trust
bfi_agree_2,partner_sexiness
bfi_agree_2,partner_strength
bfi_agree_2,partner_feel_safe
bfi_agree_2,spms_self_1
bfi_agree_2,spms_self_2
bfi_agree_2,spms_self_3R
bfi_agree_2,soi_r_desire_9
bfi_agree_2,soi_r_desire_7
bfi_agree_2,soi_r_desire_8
bfi_agree_2,relationship_problems
bfi_agree_2,relationship_satisfaction_overall
bfi_agree_2,relationship_conflict
bfi_agree_2,relationship_satisfaction_2
bfi_agree_2,relationship_satisfaction_3
bfi_agree_2,alternatives_1
bfi_agree_2,alternatives_2
bfi_agree_2,alternatives_3
bfi_agree_2,alternatives_4
bfi_agree_2,alternatives_5
bfi_agree_2,alternatives_6
bfi_agree_2,investment_1
bfi_agree_2,investment_2
bfi_agree_2,investment_3
bfi_agree_2,commitment_1
bfi_agree_2,commitment_2
bfi_agree_2,commitment_3
bfi_agree_2,communal_strength_1
bfi_agree_2,communal_strength_2R
bfi_agree_2,communal_strength_3
bfi_agree_2,communal_strength_4
bfi_agree_2,sexual_communal_strength_1
bfi_agree_2,sexual_communal_strength_2
bfi_agree_2,sexual_communal_strength_3
bfi_agree_2,ecr_avo_1R
bfi_agree_2,ecr_anx_1
bfi_agree_2,ecr_avo_2
bfi_agree_2,ecr_anx_2
bfi_agree_2,ecr_anx_3
bfi_agree_2,ecr_avo_3R
bfi_agree_2,ecr_avo_4
bfi_agree_2,ecr_anx_4R
bfi_agree_2,ecr_avo_5R
bfi_agree_2,ecr_anx_5
bfi_agree_2,ecr_avo_6
bfi_agree_2,ecr_anx_6
pvd_infectability_1,bfi_open_1
pvd_infectability_1,narq_5
pvd_infectability_1,narq_3
pvd_infectability_1,bfi_agree_2
pvd_infectability_1,bfi_consc_2r
pvd_infectability_1,soi_r_attitude_6r
pvd_infectability_1,asendorpf_shyness_4r
pvd_infectability_1,bfi_neuro_2r
pvd_infectability_1,bfi_open_2
pvd_infectability_1,bfi_extra_1
pvd_infectability_1,bfi_extra_3
pvd_infectability_1,bfi_agree_3r
pvd_infectability_1,soi_r_attitude_4
pvd_infectability_1,narq_15
pvd_infectability_1,bfi_consc_3
pvd_infectability_1,soi_r_attitude_5
pvd_infectability_1,narq_2
pvd_infectability_1,asendorpf_shyness_2
pvd_infectability_1,bfi_agree_1r
pvd_infectability_1,bfi_consc_1
pvd_infectability_1,narq_11
pvd_infectability_1,bfi_neuro_1
pvd_infectability_1,bfi_extra_2r
pvd_infectability_1,bfi_neuro_3
pvd_infectability_1,narq_18
pvd_infectability_1,bfi_open_3
pvd_infectability_1,asendorpf_shyness_5
pvd_infectability_1,bfi_extra_4
pvd_infectability_1,narq_16
pvd_infectability_1,bfi_agree_4
pvd_infectability_1,bfi_consc_9r
pvd_infectability_1,bfi_neuro_4
pvd_infectability_1,bfi_open_4
pvd_infectability_1,bfi_extra_5r
pvd_infectability_1,bfi_agree_5
pvd_infectability_1,narq_1
pvd_infectability_1,bfi_consc_4r
pvd_infectability_1,bfi_neuro_5r
pvd_infectability_1,bfi_open_5
pvd_infectability_1,bfi_extra_6
pvd_infectability_1,narq_14
pvd_infectability_1,bfi_agree_6r
pvd_infectability_1,bfi_consc_5
pvd_infectability_1,asendorpf_shyness_3r
pvd_infectability_1,pvd_germ_aversion_2
pvd_infectability_1,pvd_germ_aversion_3R
pvd_infectability_1,bfi_neuro_8
pvd_infectability_1,pvd_infectability_3R
pvd_infectability_1,pvd_germ_aversion_1
pvd_infectability_1,feel_safe_walking_dark
pvd_infectability_1,feel_safe_violent_crime
pvd_infectability_1,feel_safe_sexual_assault
pvd_infectability_1,feel_safe_theft
pvd_infectability_1,bfi_open_6
pvd_infectability_1,narq_17
pvd_infectability_1,bfi_extra_7r
pvd_infectability_1,bfi_agree_7
pvd_infectability_1,narq_4
pvd_infectability_1,asendorpf_shyness_1
pvd_infectability_1,bfi_consc_6
pvd_infectability_1,bfi_neuro_6r
pvd_infectability_1,bfi_open_7r
pvd_infectability_1,narq_13
pvd_infectability_1,bfi_extra_8
pvd_infectability_1,bfi_agree_8r
pvd_infectability_1,narq_6
pvd_infectability_1,bfi_consc_7
pvd_infectability_1,bfi_neuro_7
pvd_infectability_1,narq_7
pvd_infectability_1,bfi_open_8
pvd_infectability_1,narq_12
pvd_infectability_1,bfi_open_9r
pvd_infectability_1,bfi_agree_9
pvd_infectability_1,narq_8
pvd_infectability_1,bfi_consc_8r
pvd_infectability_1,narq_9
pvd_infectability_1,narq_10
pvd_infectability_1,bfi_open_10
pvd_infectability_1,pvd_infectability_2
pvd_infectability_1,pvd_germ_aversion_4R
pvd_infectability_1,spms_partner_1
pvd_infectability_1,spms_partner_2
pvd_infectability_1,spms_partner_3R
pvd_infectability_1,satisfaction_sexual_intercourse
pvd_infectability_1,satisfaction_single_life
pvd_infectability_1,investment_potential_partner
pvd_infectability_1,quantity_potential_partner
pvd_infectability_1,relationship_importance
pvd_infectability_1,relationship_importance_partner
pvd_infectability_1,partner_attractiveness_longterm
pvd_infectability_1,partner_attractiveness_shortterm
pvd_infectability_1,partner_attractiveness_face
pvd_infectability_1,partner_attractiveness_body
pvd_infectability_1,attractiveness_warmth
pvd_infectability_1,partner_attractiveness_trust
pvd_infectability_1,partner_sexiness
pvd_infectability_1,partner_strength
pvd_infectability_1,partner_feel_safe
pvd_infectability_1,spms_self_1
pvd_infectability_1,spms_self_2
pvd_infectability_1,spms_self_3R
pvd_infectability_1,soi_r_desire_9
pvd_infectability_1,soi_r_desire_7
pvd_infectability_1,soi_r_desire_8
pvd_infectability_1,relationship_problems
pvd_infectability_1,relationship_satisfaction_overall
pvd_infectability_1,relationship_conflict
pvd_infectability_1,relationship_satisfaction_2
pvd_infectability_1,relationship_satisfaction_3
pvd_infectability_1,alternatives_1
pvd_infectability_1,alternatives_2
pvd_infectability_1,alternatives_3
pvd_infectability_1,alternatives_4
pvd_infectability_1,alternatives_5
pvd_infectability_1,alternatives_6
pvd_infectability_1,investment_1
pvd_infectability_1,investment_2
pvd_infectability_1,investment_3
pvd_infectability_1,commitment_1
pvd_infectability_1,commitment_2
pvd_infectability_1,commitment_3
pvd_infectability_1,communal_strength_1
pvd_infectability_1,communal_strength_2R
pvd_infectability_1,communal_strength_3
pvd_infectability_1,communal_strength_4
pvd_infectability_1,sexual_communal_strength_1
pvd_infectability_1,sexual_communal_strength_2
pvd_infectability_1,sexual_communal_strength_3
pvd_infectability_1,ecr_avo_1R
pvd_infectability_1,ecr_anx_1
pvd_infectability_1,ecr_avo_2
pvd_infectability_1,ecr_anx_2
pvd_infectability_1,ecr_anx_3
pvd_infectability_1,ecr_avo_3R
pvd_infectability_1,ecr_avo_4
pvd_infectability_1,ecr_anx_4R
pvd_infectability_1,ecr_avo_5R
pvd_infectability_1,ecr_anx_5
pvd_infectability_1,ecr_avo_6
pvd_infectability_1,ecr_anx_6
bfi_consc_2r,bfi_open_1
bfi_consc_2r,narq_5
bfi_consc_2r,narq_3
bfi_consc_2r,bfi_agree_2
bfi_consc_2r,pvd_infectability_1
bfi_consc_2r,soi_r_attitude_6r
bfi_consc_2r,asendorpf_shyness_4r
bfi_consc_2r,bfi_neuro_2r
bfi_consc_2r,bfi_open_2
bfi_consc_2r,bfi_extra_1
bfi_consc_2r,bfi_extra_3
bfi_consc_2r,bfi_agree_3r
bfi_consc_2r,soi_r_attitude_4
bfi_consc_2r,narq_15
bfi_consc_2r,bfi_consc_3
bfi_consc_2r,soi_r_attitude_5
bfi_consc_2r,narq_2
bfi_consc_2r,asendorpf_shyness_2
bfi_consc_2r,bfi_agree_1r
bfi_consc_2r,bfi_consc_1
bfi_consc_2r,narq_11
bfi_consc_2r,bfi_neuro_1
bfi_consc_2r,bfi_extra_2r
bfi_consc_2r,bfi_neuro_3
bfi_consc_2r,narq_18
bfi_consc_2r,bfi_open_3
bfi_consc_2r,asendorpf_shyness_5
bfi_consc_2r,bfi_extra_4
bfi_consc_2r,narq_16
bfi_consc_2r,bfi_agree_4
bfi_consc_2r,bfi_consc_9r
bfi_consc_2r,bfi_neuro_4
bfi_consc_2r,bfi_open_4
bfi_consc_2r,bfi_extra_5r
bfi_consc_2r,bfi_agree_5
bfi_consc_2r,narq_1
bfi_consc_2r,bfi_consc_4r
bfi_consc_2r,bfi_neuro_5r
bfi_consc_2r,bfi_open_5
bfi_consc_2r,bfi_extra_6
bfi_consc_2r,narq_14
bfi_consc_2r,bfi_agree_6r
bfi_consc_2r,bfi_consc_5
bfi_consc_2r,asendorpf_shyness_3r
bfi_consc_2r,pvd_germ_aversion_2
bfi_consc_2r,pvd_germ_aversion_3R
bfi_consc_2r,bfi_neuro_8
bfi_consc_2r,pvd_infectability_3R
bfi_consc_2r,pvd_germ_aversion_1
bfi_consc_2r,feel_safe_walking_dark
bfi_consc_2r,feel_safe_violent_crime
bfi_consc_2r,feel_safe_sexual_assault
bfi_consc_2r,feel_safe_theft
bfi_consc_2r,bfi_open_6
bfi_consc_2r,narq_17
bfi_consc_2r,bfi_extra_7r
bfi_consc_2r,bfi_agree_7
bfi_consc_2r,narq_4
bfi_consc_2r,asendorpf_shyness_1
bfi_consc_2r,bfi_consc_6
bfi_consc_2r,bfi_neuro_6r
bfi_consc_2r,bfi_open_7r
bfi_consc_2r,narq_13
bfi_consc_2r,bfi_extra_8
bfi_consc_2r,bfi_agree_8r
bfi_consc_2r,narq_6
bfi_consc_2r,bfi_consc_7
bfi_consc_2r,bfi_neuro_7
bfi_consc_2r,narq_7
bfi_consc_2r,bfi_open_8
bfi_consc_2r,narq_12
bfi_consc_2r,bfi_open_9r
bfi_consc_2r,bfi_agree_9
bfi_consc_2r,narq_8
bfi_consc_2r,bfi_consc_8r
bfi_consc_2r,narq_9
bfi_consc_2r,narq_10
bfi_consc_2r,bfi_open_10
bfi_consc_2r,pvd_infectability_2
bfi_consc_2r,pvd_germ_aversion_4R
bfi_consc_2r,spms_partner_1
bfi_consc_2r,spms_partner_2
bfi_consc_2r,spms_partner_3R
bfi_consc_2r,satisfaction_sexual_intercourse
bfi_consc_2r,satisfaction_single_life
bfi_consc_2r,investment_potential_partner
bfi_consc_2r,quantity_potential_partner
bfi_consc_2r,relationship_importance
bfi_consc_2r,relationship_importance_partner
bfi_consc_2r,partner_attractiveness_longterm
bfi_consc_2r,partner_attractiveness_shortterm
bfi_consc_2r,partner_attractiveness_face
bfi_consc_2r,partner_attractiveness_body
bfi_consc_2r,attractiveness_warmth
bfi_consc_2r,partner_attractiveness_trust
bfi_consc_2r,partner_sexiness
bfi_consc_2r,partner_strength
bfi_consc_2r,partner_feel_safe
bfi_consc_2r,spms_self_1
bfi_consc_2r,spms_self_2
bfi_consc_2r,spms_self_3R
bfi_consc_2r,soi_r_desire_9
bfi_consc_2r,soi_r_desire_7
bfi_consc_2r,soi_r_desire_8
bfi_consc_2r,relationship_problems
bfi_consc_2r,relationship_satisfaction_overall
bfi_consc_2r,relationship_conflict
bfi_consc_2r,relationship_satisfaction_2
bfi_consc_2r,relationship_satisfaction_3
bfi_consc_2r,alternatives_1
bfi_consc_2r,alternatives_2
bfi_consc_2r,alternatives_3
bfi_consc_2r,alternatives_4
bfi_consc_2r,alternatives_5
bfi_consc_2r,alternatives_6
bfi_consc_2r,investment_1
bfi_consc_2r,investment_2
bfi_consc_2r,investment_3
bfi_consc_2r,commitment_1
bfi_consc_2r,commitment_2
bfi_consc_2r,commitment_3
bfi_consc_2r,communal_strength_1
bfi_consc_2r,communal_strength_2R
bfi_consc_2r,communal_strength_3
bfi_consc_2r,communal_strength_4
bfi_consc_2r,sexual_communal_strength_1
bfi_consc_2r,sexual_communal_strength_2
bfi_consc_2r,sexual_communal_strength_3
bfi_consc_2r,ecr_avo_1R
bfi_consc_2r,ecr_anx_1
