number,DOI
216,10.1037/t44615-000
217,10.1037/t09006-000
218,10.1037/t81279-000
219,10.1037/t12393-000
220,10.1037/t34084-000
221,10.1037/t22390-000
222,10.1037/t46542-000
223,10.1037/t82560-000
224,10.1037/t83325-000
225,10.1037/t76769-000
226,10.1037/t33769-000
227,10.1037/t70728-000
228,10.1037/t18239-000
229,10.1037/t63483-000
230,10.1037/t65218-000
231,10.1037/t81460-000
232,10.1037/t37007-000
233,10.1037/t07883-000
234,10.1037/t39066-000
235,10.1037/t23741-000
236,10.1037/t28377-000
237,10.1037/t46416-000
238,10.1037/t87324-000
239,10.1037/t84086-000
240,10.1037/t11747-000
241,10.1037/t86870-000
242,10.1037/t15678-000
243,10.1037/t34200-000
244,10.1037/t25488-000
245,10.1037/t62553-000
246,10.1037/t41561-000
247,10.1037/t22349-000
248,10.1037/t84537-000
249,10.1037/t77563-000
250,10.1037/t23986-000
251,10.1037/t29340-000
252,10.1037/t20659-000
253,10.1037/t29711-000
254,10.1037/t04345-000
255,10.1037/t01099-000
256,10.1037/t14128-000
257,10.1037/t60310-000
258,10.1037/t64164-000
259,10.1037/t48171-000
260,10.1037/t81486-000
261,10.1037/t01320-000
262,10.1037/t33045-000
263,10.1037/t56822-000
264,10.1037/t33386-000
265,10.1037/t21314-000
266,10.1037/t83548-000
267,10.1037/t61877-000
268,10.1037/t63493-000
269,10.1037/t78839-000
270,10.1037/t78401-000
271,10.1037/t13304-000
272,10.1037/t16628-000
273,10.1037/t76414-000
274,10.1037/t64515-000
275,10.1037/t36472-000
276,10.1037/t20657-000
277,10.1037/t01333-000
278,10.1037/t43584-000
279,10.1037/t69327-000
280,10.1037/t59602-000
281,10.1037/t11821-000
282,10.1037/t12514-000
283,10.1037/t06229-000
284,10.1037/t47076-000
285,10.1037/t37654-000
286,10.1037/t06314-000
287,10.1037/t77926-000
288,10.1037/t39862-000
289,10.1037/t62301-000
290,10.1037/t01116-000
291,10.1037/t38263-000
292,10.1037/t82303-000
293,10.1037/t85516-000
294,10.1037/t20638-000
295,10.1037/t58755-000
296,10.1037/t10320-000
297,10.1037/t25921-000
298,10.1037/t73750-000
299,10.1037/t63178-000
300,10.1037/t43998-000
301,10.1037/t13883-000
302,10.1037/t41204-000
303,10.1037/t20994-000
304,10.1037/t68161-000
305,10.1037/t85073-000
306,10.1037/t59232-000
307,10.1037/t33299-000
308,10.1037/t15630-000
309,10.1037/t29529-000
310,10.1037/t43291-000
311,10.1037/t39746-000
312,10.1037/t69824-000
313,10.1037/t43946-000
314,10.1037/t81599-000
315,10.1037/t52136-000
316,10.1037/t42522-000
317,10.1037/t11429-000
318,10.1037/t19492-000
319,10.1037/t22363-000
320,10.1037/t47585-000
321,10.1037/t79611-000
322,10.1037/t64865-000
323,10.1037/t17273-000
324,10.1037/t20271-000
325,10.1037/t28254-000
326,10.1037/t83212-000
327,10.1037/t09924-000
328,10.1037/t20248-000
329,10.1037/t33990-000
330,10.1037/t87128-000
331,10.1037/t51321-000
332,10.1037/t86688-000
333,10.1037/t73585-000
334,10.1037/t81089-000
335,10.1037/t84640-000
336,10.1037/t80404-000
337,10.1037/t45208-000
338,10.1037/t44262-000
339,10.1037/t61727-000
340,10.1037/t25273-000
341,10.1037/t09883-000
342,10.1037/t14086-000
343,10.1037/t25747-000
344,10.1037/t14186-000
345,10.1037/t72047-000
346,10.1037/t38152-000
347,10.1037/t63007-000
348,10.1037/t28088-000
349,10.1037/t17077-000
350,10.1037/t20367-000
351,10.1037/t40783-000
352,10.1037/t25935-000
353,10.1037/t58822-000
354,10.1037/t30971-000
355,10.1037/t17996-000
356,10.1037/t49894-000
357,10.1037/t15215-000
358,10.1037/t19067-000
359,10.1037/t27692-000
360,10.1037/t55732-000
361,10.1037/t65737-000
362,10.1037/t26767-000
363,10.1037/t77050-000
364,10.1037/t36419-000
365,10.1037/t11561-000
366,10.1037/t38409-000
367,10.1037/t25324-000
368,10.1037/t43579-000
369,10.1037/t24462-000
370,10.1037/t14578-000
371,10.1037/t85110-000
372,10.1037/t48724-000
373,10.1037/t08900-000
374,10.1037/t10202-000
375,10.1037/t41095-000
376,10.1037/t85685-000
377,10.1037/t27818-000
378,10.1037/t36710-000
379,10.1037/t37790-000
380,10.1037/t68381-000
381,10.1037/t32473-000
382,10.1037/t42125-000
383,10.1037/t07156-000
384,10.1037/t57856-000
385,10.1037/t42725-000
386,10.1037/t36465-000
387,10.1037/t69023-000
388,10.1037/t79014-000
389,10.1037/t32415-000
390,10.1037/t35297-000
391,10.1037/t74518-000
392,10.1037/t37264-000
393,10.1037/t20161-000
394,10.1037/t30292-000
395,10.1037/t01142-000
396,10.1037/t20443-000
397,10.1037/t45473-000
398,10.1037/t22063-000
399,10.1037/t47206-000
400,10.1037/t34326-000
401,10.1037/t38858-000
402,10.1037/t20675-000
403,10.1037/t80843-000
404,10.1037/t13621-000
405,10.1037/t39942-000
406,10.1037/t41672-000
407,10.1037/t40420-000
408,10.1037/t13398-000
409,10.1037/t76992-000
410,10.1037/t00095-000
411,10.1037/t78339-000
412,10.1037/t81997-000
413,10.1037/t67043-000
414,10.1037/t64745-000
415,10.1037/t68369-000
416,10.1037/t39603-000
417,10.1037/t01776-000
418,10.1037/t08807-000
419,10.1037/t66749-000
420,10.1037/t83950-000
421,10.1037/t73797-000
422,10.1037/t85366-000
423,10.1037/t27601-000
424,10.1037/t19893-000
425,10.1037/t20258-000
426,10.1037/t61832-000
427,10.1037/t24808-000
428,10.1037/t46239-000
429,10.1037/t17345-000
430,10.1037/t09462-000
431,10.1037/t51042-000
432,10.1037/t50283-000
433,10.1037/t22654-000
434,10.1037/t83447-000
435,10.1037/t00345-000
436,10.1037/t20199-000
437,10.1037/t04546-000
438,10.1037/t12925-000
439,10.1037/t61386-000
440,10.1037/t10177-000
441,10.1037/t40870-000
442,10.1037/t08012-000
443,10.1037/t08556-000
444,10.1037/t72493-000
445,10.1037/t16534-000
446,10.1037/t32281-000
447,10.1037/t07334-000
448,10.1037/t22915-000
449,10.1037/t32031-000
450,10.1037/t40482-000
451,10.1037/t54940-000
452,10.1037/t82392-000
453,10.1037/t09376-000
454,10.1037/t21210-000
455,10.1037/t41231-000
456,10.1037/t71807-000
457,10.1037/t05905-000
458,10.1037/t78273-000
459,10.1037/t26462-000
460,10.1037/t00483-000
461,10.1037/t40430-000
462,10.1037/t52799-000
463,10.1037/t13862-000
464,10.1037/t24555-000
465,10.1037/t25985-000
466,10.1037/t43073-000
467,10.1037/t48167-000
468,10.1037/t37992-000
469,10.1037/t19482-000
470,10.1037/t40143-000
471,10.1037/t22039-000
472,10.1037/t31743-000
473,10.1037/t67500-000
474,10.1037/t22014-000
475,10.1037/t48350-000
476,10.1037/t14386-000
477,10.1037/t28473-000
478,10.1037/t03156-000
479,10.1037/t04755-000
480,10.1037/t17003-000
481,10.1037/t13667-000
482,10.1037/t20372-000
483,10.1037/t82008-000
484,10.1037/t14747-000
485,10.1037/t19940-000
486,10.1037/t38791-000
487,10.1037/t59405-000
488,10.1037/t11664-000
489,10.1037/t71229-000
490,10.1037/t25835-000
491,10.1037/t76603-000
492,10.1037/t78287-000
493,10.1037/t14267-000
494,10.1037/t50137-000
495,10.1037/t38435-000
496,10.1037/t11202-000
497,10.1037/t42932-000
498,10.1037/t25571-000
499,10.1037/t34085-000
500,10.1037/t08071-000
501,10.1037/t74860-000
502,10.1037/t26433-000
503,10.1037/t36908-000
504,10.1037/t25288-000
505,10.1037/t71056-000
506,10.1037/t64627-000
507,10.1037/t03545-000
508,10.1037/t81811-000
509,10.1037/t42799-000
510,10.1037/t26283-000
511,10.1037/t78972-000
512,10.1037/t86091-000
513,10.1037/t59511-000
514,10.1037/t38026-000
515,10.1037/t24796-000
516,10.1037/t77488-000
517,10.1037/t62627-000
518,10.1037/t15681-000
519,10.1037/t02751-000
520,10.1037/t87220-000
521,10.1037/t72988-000
522,10.1037/t72131-000
523,10.1037/t18063-000
524,10.1037/t36836-000
525,10.1037/t08895-000
526,10.1037/t34470-000
527,10.1037/t24666-000
528,10.1037/t22552-000
529,10.1037/t39507-000
530,10.1037/t20405-000
531,10.1037/t67796-000
532,10.1037/t84721-000
533,10.1037/t80170-000
534,10.1037/t35680-000
535,10.1037/t00556-000
536,10.1037/t22242-000
537,10.1037/t24819-000
538,10.1037/t20134-000
539,10.1037/t74258-000
540,10.1037/t49760-000
541,10.1037/t44672-000
542,10.1037/t19559-000
543,10.1037/t62850-000
544,10.1037/t23087-000
545,10.1037/t85250-000
546,10.1037/t22840-000
547,10.1037/t12140-000
548,10.1037/t31531-000
549,10.1037/t17724-000
550,10.1037/t21894-000
551,10.1037/t44304-000
552,10.1037/t38397-000
553,10.1037/t22988-000
554,10.1037/t33982-000
555,10.1037/t41619-000
556,10.1037/t85380-000
557,10.1037/t51595-000
558,10.1037/t30425-000
559,10.1037/t49393-000
560,10.1037/t01422-000
561,10.1037/t08715-000
562,10.1037/t17308-000
563,10.1037/t67829-000
564,10.1037/t80816-000
565,10.1037/t04056-000
566,10.1037/t62489-000
567,10.1037/t70324-000
568,10.1037/t10855-000
569,10.1037/t19320-000
570,10.1037/t24345-000
571,10.1037/t69852-000
572,10.1037/t26760-000
573,10.1037/t32235-000
574,10.1037/t19479-000
575,10.1037/t64297-000
576,10.1037/t76048-000
577,10.1037/t09206-000
578,10.1037/t16228-000
579,10.1037/t63041-000
580,10.1037/t70622-000
581,10.1037/t70391-000
582,10.1037/t58793-000
583,10.1037/t14362-000
584,10.1037/t11680-000
585,10.1037/t78166-000
586,10.1037/t83067-000
587,10.1037/t14579-000
588,10.1037/t41910-000
589,10.1037/t21458-000
590,10.1037/t39836-000
591,10.1037/t22749-000
592,10.1037/t05284-000
593,10.1037/t28681-000
594,10.1037/t46380-000
595,10.1037/t00511-000
596,10.1037/t03345-000
597,10.1037/t47349-000
598,10.1037/t09771-000
599,10.1037/t20776-000
600,10.1037/t48624-000
601,10.1037/t85783-000
602,10.1037/t09749-000
603,10.1037/t65980-000
604,10.1037/t16853-000
605,10.1037/t34907-000
606,10.1037/t11873-000
607,10.1037/t27893-000
608,10.1037/t63257-000
609,10.1037/t42448-000
610,10.1037/t77887-000
611,10.1037/t03684-000
612,10.1037/t80470-000
613,10.1037/t46084-000
614,10.1037/t27825-000
615,10.1037/t11238-000
616,10.1037/t80776-000
617,10.1037/t28229-000
618,10.1037/t23400-000
619,10.1037/t19671-000
620,10.1037/t80628-000
621,10.1037/t21726-000
622,10.1037/t15335-000
623,10.1037/t79607-000
624,10.1037/t72051-000
625,10.1037/t81678-000
626,10.1037/t25063-000
627,10.1037/t82873-000
628,10.1037/t81395-000
629,10.1037/t72645-000
630,10.1037/t02271-000
631,10.1037/t09735-000
632,10.1037/t29473-000
633,10.1037/t29975-000
634,10.1037/t87005-000
635,10.1037/t58466-000
636,10.1037/t22431-000
637,10.1037/t29853-000
638,10.1037/t48159-000
639,10.1037/t39702-000
640,10.1037/t51511-000
641,10.1037/t27971-000
642,10.1037/t12269-000
643,10.1037/t20223-000
644,10.1037/t24430-000
645,10.1037/t42268-000
646,10.1037/t70871-000
647,10.1037/t81088-000
648,10.1037/t84206-000
649,10.1037/t56455-000
650,10.1037/t79281-000
651,10.1037/t31089-000
652,10.1037/t08682-000
653,10.1037/t24888-000
654,10.1037/t85702-000
655,10.1037/t84969-000
656,10.1037/t10021-000
657,10.1037/t47271-000
658,10.1037/t10120-000
659,10.1037/t61287-000
660,10.1037/t13891-000
661,10.1037/t06901-000
662,10.1037/t81837-000
663,10.1037/t83524-000
664,10.1037/t73283-000
665,10.1037/t02865-000
666,10.1037/t18808-000
667,10.1037/t14694-000
668,10.1037/t42082-000
669,10.1037/t22348-000
670,10.1037/t11628-000
671,10.1037/t00032-000
672,10.1037/t45092-000
673,10.1037/t69063-000
674,10.1037/t67768-000
675,10.1037/t12542-000
676,10.1037/t62164-000
677,10.1037/t05153-000
678,10.1037/t49419-000
679,10.1037/t48425-000
680,10.1037/t24157-000
681,10.1037/t65648-000
682,10.1037/t87482-000
683,10.1037/t42110-000
684,10.1037/t21919-000
685,10.1037/t23167-000
686,10.1037/t23214-000
687,10.1037/t68877-000
688,10.1037/t07268-000
689,10.1037/t84370-000
690,10.1037/t58664-000
691,10.1037/t77284-000
692,10.1037/t25976-000
693,10.1037/t58561-000
694,10.1037/t13518-000
695,10.1037/t32060-000
696,10.1037/t60317-000
697,10.1037/t17991-000
698,10.1037/t64513-000
699,10.1037/t24455-000
700,10.1037/t31115-000
701,10.1037/t27803-000
702,10.1037/t24618-000
703,10.1037/t27053-000
704,10.1037/t67617-000
705,10.1037/t22756-000
706,10.1037/t44288-000
707,10.1037/t80321-000
708,10.1037/t31384-000
709,10.1037/t22544-000
710,10.1037/t48980-000
711,10.1037/t21575-000
712,10.1037/t26200-000
713,10.1037/t22165-000
714,10.1037/t65017-000
715,10.1037/t08508-000
716,10.1037/t28530-000
717,10.1037/t82613-000
718,10.1037/t22453-000
719,10.1037/t71650-000
720,10.1037/t11314-000
721,10.1037/t00252-000
722,10.1037/t55578-000
723,10.1037/t28373-000
724,10.1037/t17859-000
725,10.1037/t85855-000
726,10.1037/t23624-000
727,10.1037/t12333-000
728,10.1037/t36023-000
729,10.1037/t27890-000
730,10.1037/t00018-000
731,10.1037/t14101-000
732,10.1037/t52615-000
733,10.1037/t26620-000
734,10.1037/t63249-000
735,10.1037/t42222-000
736,10.1037/t14698-000
737,10.1037/t24090-000
738,10.1037/t73260-000
739,10.1037/t14153-000
740,10.1037/t15932-000
741,10.1037/t23434-000
742,10.1037/t26562-000
743,10.1037/t43695-000
744,10.1037/t10835-000
745,10.1037/t57758-000
746,10.1037/t18437-000
747,10.1037/t01055-000
748,10.1037/t69145-000
749,10.1037/t14484-000
750,10.1037/t15690-000
751,10.1037/t09872-000
752,10.1037/t42992-000
753,10.1037/t16789-000
754,10.1037/t46676-000
755,10.1037/t15843-000
756,10.1037/t18952-000
757,10.1037/t17323-000
758,10.1037/t48559-000
759,10.1037/t16750-000
760,10.1037/t85181-000
761,10.1037/t21128-000
762,10.1037/t13631-000
763,10.1037/t82809-000
764,10.1037/t53530-000
765,10.1037/t09951-000
766,10.1037/t11132-000
767,10.1037/t23640-000
768,10.1037/t77994-000
769,10.1037/t04106-000
770,10.1037/t08417-000
771,10.1037/t42357-000
772,10.1037/t59309-000
773,10.1037/t41528-000
774,10.1037/t61082-000
775,10.1037/t63266-000
776,10.1037/t76648-000
777,10.1037/t20612-000
778,10.1037/t22058-000
779,10.1037/t37951-000
780,10.1037/t36209-000
781,10.1037/t37039-000
782,10.1037/t43954-000
783,10.1037/t18304-000
784,10.1037/t50552-000
785,10.1037/t22724-000
786,10.1037/t58371-000
787,10.1037/t61623-000
788,10.1037/t36234-000
789,10.1037/t69649-000
790,10.1037/t47133-000
791,10.1037/t80637-000
792,10.1037/t31971-000
793,10.1037/t35942-000
794,10.1037/t42450-000
795,10.1037/t70448-000
796,10.1037/t47472-000
797,10.1037/t15878-000
798,10.1037/t87661-000
799,10.1037/t16206-000
800,10.1037/t59406-000
801,10.1037/t06418-000
802,10.1037/t44472-000
803,10.1037/t38922-000
804,10.1037/t38570-000
805,10.1037/t32092-000
806,10.1037/t17958-000
807,10.1037/t42812-000
808,10.1037/t13873-000
809,10.1037/t62349-000
810,10.1037/t19806-000
811,10.1037/t69324-000
812,10.1037/t53813-000
813,10.1037/t09666-000
814,10.1037/t11306-000
815,10.1037/t12272-000
816,10.1037/t20651-000
817,10.1037/t16787-000
818,10.1037/t33106-000
819,10.1037/t10776-000
820,10.1037/t28943-000
821,10.1037/t80721-000
822,10.1037/t13983-000
823,10.1037/t83252-000
824,10.1037/t37892-000
825,10.1037/t48112-000
826,10.1037/t05991-000
827,10.1037/t03332-000
828,10.1037/t54446-000
829,10.1037/t46987-000
830,10.1037/t68406-000
831,10.1037/t07735-000
832,10.1037/t13221-000
833,10.1037/t27665-000
834,10.1037/t19132-000
835,10.1037/t13979-000
836,10.1037/t86384-000
837,10.1037/t02319-000
838,10.1037/t11763-000
839,10.1037/t42707-000
840,10.1037/t09760-000
841,10.1037/t35968-000
842,10.1037/t22602-000
843,10.1037/t18487-000
844,10.1037/t74928-000
845,10.1037/t17879-000
846,10.1037/t31840-000
847,10.1037/t13717-000
848,10.1037/t01821-000
849,10.1037/t31873-000
850,10.1037/t49946-000
851,10.1037/t64179-000
852,10.1037/t23439-000
853,10.1037/t04863-000
854,10.1037/t70318-000
855,10.1037/t81313-000
856,10.1037/t15468-000
857,10.1037/t83980-000
858,10.1037/t31826-000
859,10.1037/t60014-000
860,10.1037/t48979-000
861,10.1037/t69457-000
862,10.1037/t81398-000
863,10.1037/t18871-000
864,10.1037/t45808-000
865,10.1037/t53874-000
866,10.1037/t52420-000
867,10.1037/t64285-000
868,10.1037/t21538-000
869,10.1037/t33446-000
870,10.1037/t28365-000
871,10.1037/t00216-000
872,10.1037/t33738-000
873,10.1037/t22569-000
874,10.1037/t41958-000
875,10.1037/t08966-000
876,10.1037/t44114-000
877,10.1037/t60644-000
878,10.1037/t40199-000
879,10.1037/t33625-000
880,10.1037/t38194-000
881,10.1037/t65577-000
882,10.1037/t06313-000
883,10.1037/t17888-000
884,10.1037/t82010-000
885,10.1037/t07065-000
886,10.1037/t45531-000
887,10.1037/t32449-000
888,10.1037/t78028-000
889,10.1037/t34069-000
890,10.1037/t32260-000
891,10.1037/t22045-000
892,10.1037/t11562-000
893,10.1037/t11784-000
894,10.1037/t26714-000
895,10.1037/t69671-000
896,10.1037/t66578-000
897,10.1037/t21469-000
898,10.1037/t19221-000
899,10.1037/t10973-000
900,10.1037/t72327-000
901,10.1037/t45529-000
902,10.1037/t25500-000
903,10.1037/t42488-000
904,10.1037/t84530-000
905,10.1037/t77667-000
906,10.1037/t15661-000
907,10.1037/t67150-000
908,10.1037/t25482-000
909,10.1037/t85536-000
910,10.1037/t16782-000
911,10.1037/t08987-000
912,10.1037/t16583-000
913,10.1037/t71793-000
914,10.1037/t25877-000
915,10.1037/t03452-000
916,10.1037/t49485-000
917,10.1037/t01578-000
918,10.1037/t08626-000
919,10.1037/t47437-000
920,10.1037/t01069-000
921,10.1037/t00091-000
922,10.1037/t52722-000
923,10.1037/t15012-000
924,10.1037/t27473-000
925,10.1037/t24506-000
926,10.1037/t76692-000
927,10.1037/t01245-000
928,10.1037/t09134-000
929,10.1037/t77289-000
930,10.1037/t10708-000
931,10.1037/t15945-000
932,10.1037/t00865-000
933,10.1037/t44639-000
934,10.1037/t26745-000
935,10.1037/t07438-000
936,10.1037/t57035-000
937,10.1037/t84491-000
938,10.1037/t16239-000
939,10.1037/t16527-000
940,10.1037/t78829-000
941,10.1037/t69436-000
942,10.1037/t84356-000
943,10.1037/t27287-000
944,10.1037/t14373-000
945,10.1037/t63773-000
946,10.1037/t71064-000
947,10.1037/t43583-000
948,10.1037/t13448-000
949,10.1037/t20488-000
950,10.1037/t82580-000
951,10.1037/t74327-000
952,10.1037/t05672-000
953,10.1037/t12225-000
954,10.1037/t48789-000
955,10.1037/t13289-000
956,10.1037/t26032-000
957,10.1037/t85120-000
958,10.1037/t20950-000
959,10.1037/t59240-000
960,10.1037/t32976-000
961,10.1037/t81920-000
962,10.1037/t47400-000
963,10.1037/t15286-000
964,10.1037/t26470-000
965,10.1037/t20393-000
966,10.1037/t01484-000
967,10.1037/t25189-000
968,10.1037/t46712-000
969,10.1037/t36999-000
970,10.1037/t21787-000
971,10.1037/t10822-000
972,10.1037/t16490-000
973,10.1037/t42381-000
974,10.1037/t06975-000
975,10.1037/t02921-000
976,10.1037/t49060-000
977,10.1037/t14036-000
978,10.1037/t79301-000
979,10.1037/t16039-000
980,10.1037/t65363-000
981,10.1037/t13007-000
982,10.1037/t87486-000
983,10.1037/t62100-000
984,10.1037/t27757-000
985,10.1037/t00735-000
986,10.1037/t45443-000
987,10.1037/t39016-000
988,10.1037/t25550-000
989,10.1037/t20926-000
990,10.1037/t06699-000
991,10.1037/t49487-000
992,10.1037/t84967-000
993,10.1037/t72479-000
994,10.1037/t30594-000
995,10.1037/t33450-000
996,10.1037/t72326-000
997,10.1037/t28410-000
998,10.1037/t75955-000
999,10.1037/t61967-000
1000,10.1037/t83896-000
1001,10.1037/t32811-000
1002,10.1037/t47266-000
1003,10.1037/t00003-000
1004,10.1037/t23784-000
1005,10.1037/t28464-000
1006,10.1037/t80248-000
1007,10.1037/t77570-000
1008,10.1037/t37852-000
1009,10.1037/t20338-000
1010,10.1037/t31214-000
1011,10.1037/t86662-000
1012,10.1037/t22807-000
1013,10.1037/t37027-000
1014,10.1037/t28592-000
1015,10.1037/t31668-000
1016,10.1037/t16457-000
1017,10.1037/t27453-000
1018,10.1037/t42759-000
1019,10.1037/t34274-000
1020,10.1037/t67744-000
1021,10.1037/t52858-000
1022,10.1037/t50947-000
1023,10.1037/t79959-000
1024,10.1037/t35096-000
1025,10.1037/t12712-000
1026,10.1037/t09390-000
1027,10.1037/t23100-000
1028,10.1037/t84459-000
1029,10.1037/t13434-000
1030,10.1037/t31728-000
1031,10.1037/t24936-000
1032,10.1037/t38140-000
1033,10.1037/t50389-000
1034,10.1037/t38146-000
1035,10.1037/t81854-000
1036,10.1037/t27598-000
1037,10.1037/t12132-000
1038,10.1037/t32654-000
1039,10.1037/t24248-000
1040,10.1037/t16127-000
1041,10.1037/t60695-000
1042,10.1037/t01113-000
1043,10.1037/t39090-000
1044,10.1037/t71330-000
1045,10.1037/t17922-000
1046,10.1037/t18153-000
1047,10.1037/t01307-000
1048,10.1037/t79244-000
1049,10.1037/t80861-000
1050,10.1037/t33550-000
1051,10.1037/t03346-000
1052,10.1037/t48155-000
1053,10.1037/t45748-000
1054,10.1037/t09786-000
1055,10.1037/t76929-000
1056,10.1037/t26249-000
1057,10.1037/t20733-000
1058,10.1037/t45642-000
1059,10.1037/t39087-000
1060,10.1037/t24127-000
1061,10.1037/t40770-000
1062,10.1037/t14379-000
1063,10.1037/t18013-000
1064,10.1037/t11578-000
1065,10.1037/t34551-000
1066,10.1037/t79275-000
1067,10.1037/t28416-000
1068,10.1037/t17676-000
1069,10.1037/t20822-000
